appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,26087,13266,Sioux Sheriff,,False,sioux-sheriff,approved,[]
,False,26088,14082,Sioux Center Police Department,,False,sioux-center-police-department,approved,[]
,False,26089,13554,Spirit Lake Police Department,,False,spirit-lake-police-department,approved,[]
,False,26090,13890,State Center Police Department,,False,state-center-police-department,approved,[]
,False,26091,13267,Story Sheriff,,False,story-sheriff,approved,[]
,False,5431,154,Maryland Department of Business and Economic Development,,False,department-of-business-and-economic-development,approved,[]
,False,5436,157,Montana Governor's Office of Economic Development,,False,governors-office-of-economic-development,approved,[]
,False,6029,235,"Alaska Department of Natural Resources, Division of Oil and Gas",,False,alaska-department-of-natural-resources,approved,[]
,False,26092,14106,Toledo Police Department,,False,toledo-police-department,approved,[]
,False,26093,13270,Union Sheriff,,False,union-sheriff,approved,[]
,False,26094,13325,Vinton Police Department,,False,vinton-police-department,approved,[]
,False,26095,14058,Walcott Police Department,,False,walcott-police-department,approved,[]
,False,26096,13274,Washington Sheriff,,False,washington-sheriff,approved,[]
,False,26097,13335,Waterloo Police Department,,False,waterloo-police-department,approved,[]
,False,5435,299,Missouri Department of Economic Development,,False,department-of-economic-development,approved,[]
,False,5429,233,Louisiana Department of Economic Development,,False,department-of-economic-development,approved,[]
,False,26098,13517,Waukee Police Department,,False,waukee-police-department,approved,[]
,False,26099,13296,Waukon Police Department,,False,waukon-police-department,approved,[]
,False,26100,13350,Waverly Police Department,,False,waverly-police-department,approved,[]
,False,17965,4047,Asheville Development Services Department,,False,asheville-development-services-department,approved,[]
,False,26101,13276,Webster Sheriff,,False,webster-sheriff,approved,[]
,False,26102,13792,Webster City Police Department,,False,webster-city-police-department,approved,[]
,False,26103,13421,West Branch Police Department,,False,west-branch-police-department,approved,[]
,False,26104,13548,West Burlington Police Department,,False,west-burlington-police-department,approved,[]
,False,5440,34,"University of Florida, Levin College of Law, Center for International Financial Crimes Studies",,False,university-of-florida-levin-college-of-law-the-centre-for-international-financial-crimes-studies,approved,[]
,False,26105,13725,Williamsburg Police Department,,False,williamsburg-police-department,approved,[]
,False,26106,13998,Windsor Heights Police Department,,False,windsor-heights-police-department,approved,[]
,False,26107,13278,Winneshiek Sheriff,,False,winneshiek-sheriff,approved,[]
,False,5477,32286,"West Virginia University, Office of the Vice President for Legal Affairs and General Counsel",,False,west-virginia-university,approved,[]
,False,26108,13860,Winterset Police Department,,False,winterset-police-department,approved,[]
,False,26109,13280,Worth Sheriff,,False,worth-sheriff,approved,[]
,False,26110,13281,Wright Sheriff,,False,wright-sheriff,approved,[]
,False,26111,10867,American Falls Police Department,,False,american-falls-police-department,approved,[]
,False,26112,10723,Bellevue Police Department,,False,bellevue-police-department,approved,[]
,False,26113,10720,Blackfoot Police Department,,False,blackfoot-police-department,approved,[]
,False,26114,10879,Buhl Police Department,,False,buhl-police-department,approved,[]
,False,26115,10703,Chubbuck Police Department,,False,chubbuck-police-department,approved,[]
,False,26116,10794,Emmett Police Department,,False,emmett-police-department,approved,[]
,False,26117,10864,Fruitland Police Department,,False,fruitland-police-department,approved,[]
,False,5493,53,"Department of Emergency Services and Public Protection, Special Licensing & Firearms Unit",,False,department-of-emergency-services-and-public-protection,approved,[]
,False,26118,10796,Gooding Police Department,,False,gooding-police-department,approved,[]
,False,26119,10801,Grangeville Police Department,,False,grangeville-police-department,approved,[]
,False,6028,10,"Bureau of Ocean Energy Management, Alaska",,False,bureau-of-ocean-energy-management,approved,[]
,False,26120,10724,Hailey Police Department,,False,hailey-police-department,approved,[]
,False,26121,10852,Heyburn Police Department,,False,heyburn-police-department,approved,[]
,False,26123,10842,Kamiah Police Department,,False,kamiah-police-department,approved,[]
,False,26124,10725,Ketchum Police Department,,False,ketchum-police-department,approved,[]
,False,26125,10734,Kootenai Sheriff,,False,kootenai-sheriff,approved,[]
,False,26122,10815,Jerome Police Department,,False,jerome-police-department,approved,[]
,False,26127,10889,Mccall Police Department,,False,mccall-police-department,approved,[]
,False,26128,10711,Montpelier Police Department,,False,montpelier-police-department,approved,[]
,False,26130,10779,Mountain Home Police Department,,False,mountain-home-police-department,approved,[]
,False,5444,246,Iowa Secretary of State,,False,secretary-of-state,approved,[]
,False,26126,10858,Lewiston Police Department,,False,lewiston-police-department,approved,[]
,False,26129,10835,Moscow Police Department,,False,moscow-police-department,approved,[]
,False,26132,10771,Orofino Police Department,,False,orofino-police-department,approved,[]
,False,26133,10757,Parma Police Department,,False,parma-police-department,approved,[]
,False,5499,10,"United States Attorney's Office, District of Colorado",,False,united-states-attorneys-office-district-of-colorado,approved,[]
,False,26134,10736,Ponderay Police Department,,False,ponderay-police-department,approved,[]
,False,26135,10823,Post Falls Police Department,,False,post-falls-police-department,approved,[]
,False,26136,10784,Preston Police Department,,False,preston-police-department,approved,[]
,False,26137,10849,Rexburg Police Department,,False,rexburg-police-department,approved,[]
,False,26138,10810,Rigby Police Department,,False,rigby-police-department,approved,[]
,False,26139,10840,Salmon Police Department,,False,salmon-police-department,approved,[]
,False,26140,10738,Sandpoint Police Department,,False,sandpoint-police-department,approved,[]
,False,26141,10762,Soda Springs Police Department,,False,soda-springs-police-department,approved,[]
,False,26142,10825,Spirit Lake Police Department,,False,spirit-lake-police-department,approved,[]
,False,26143,10726,Sun Valley Police Department,,False,sun-valley-police-department,approved,[]
,False,26144,10758,Wilder Police Department,,False,wilder-police-department,approved,[]
,False,26145,7368,Crawford Sheriff,,False,crawford-sheriff,approved,[]
,False,26146,10899,Dewitt Sheriff,,False,dewitt-sheriff,approved,[]
,False,32029,22899,Tarrytown Ufsd,,False,tarrytown-ufsd,approved,[]
,False,26147,12332,Zionsville Police Department,,False,zionsville-police-department,approved,[]
,False,26148,14228,Allen Sheriff,,False,allen-sheriff,approved,[]
,False,14673,304,West Virginia Division of Homeland Security and Emergency Management,,False,west-virginia-division-of-homeland-security-and-emergency-management,approved,[]
,False,6268,7396,Kane County Clerk of Court John A. Cunningham,,False,kane-county-clerk-of-court-john-a-cunningham,approved,[]
,False,31997,22268,Albany County Legislature,,False,albany-county-legislature,approved,[]
,False,6251,2844,University of North Texas Police Department,,False,university-of-north-texas-police-department,approved,[]
,False,32039,234,Driver License Division,,False,driver-license-division,approved,[]
,False,5475,8831,City of Billings - City Clerk,,False,city-of-billings,approved,[]
,False,32046,2768,Van Zandt District Judge,,False,van-zandt-district-judge,approved,[]
,False,6110,5051,Brookhaven Police Department,,False,brookhaven-police-department,approved,[]
,False,32051,16733,"Crockery Township , Nunica",,False,crockery-township-nunica,approved,[]
,False,26131,10755,Nampa Police Department,,False,nampa-police-department,approved,[]
,False,6250,126,Southeastern Pennsylvania Transportation Authority,,False,southeastern-pennsylvania-transportation-authority,approved,[]
,False,6298,10,Naval Special Warfare Command (NAVSPECWARCOM),,False,naval-special-warfare-command-navspecwarcom,approved,[]
,False,17966,4047,Asheville Planning And Urban Design Department,,False,asheville-planning-and-urban-design-department,approved,[]
,False,267,1,Division of Health Care Finance and Policy,,False,division-of-health-care-finance-and-policy,approved,[]
,False,6549,581,Methuen Public Schools,,False,methuen-public-schools,approved,[]
,False,38712,8012,Kincaid Police Department,,False,kincaid-police-department,approved,[]
,True,6302,10,"Records Management Division (FOIA Appeals), FEMA",,False,records-management-division-foia-appeals-fema,approved,[]
,False,32033,314,"Housing And Revitalization Department, City Of Detroit",,False,housing-and-revitalization-department-city-of-detroit,approved,[]
,False,38706,126,"Harrison Township Police Department, Natrona Heights",,False,harrison-township-police-department-natrona-heights,approved,[]
,False,32031,22890,New Rochelle City School District,,False,new-rochelle-city-school-district,approved,[]
,False,5119,10118,Springdale Police Department,,True,springdale-police-department,approved,Police
,False,6277,207,"Buffalo Division of Administration, Finance, Policy and Urban Affairs",,False,buffalo-division-administration-finance-policy-and-urban-affairs,approved,[]
,False,40883,4966,Tift County Board Of Elections & Registration,,False,tift-county-board-of-elections-registration,approved,[]
,False,32058,8542,Tumwater City Clerk,,False,tumwater,approved,[]
,False,40884,4937,Murray County Board Of Elections,,False,murray-county-board-of-elections,approved,[]
,False,2396,10,Occupational Safety and Health Administration,,False,occupational-safety-health-administration,approved,[]
,False,5657,27301,Montgomery County Sheriff's Office,,False,montgomery-county-sheriffs-office,approved,[]
,False,9770,10,"Environmental Protection Agency, Office of Chemical Safety and Pollution Prevention",,False,environmental-protection-agency-office-of-chemical-safety-and-pollution-prevention,approved,[]
,False,37929,9557,Goodyear City Clerk,,False,goodyear-city-clerk,approved,[]
,False,32048,9780,West Memphis Police Department,,False,west-memphis-police-department,approved,[]
,False,40891,10495,Rockledge Police Department,,False,rockledge-police-department,approved,[]
,False,41739,11152,Wauconda Police Department,,False,wauconda-police-department,approved,[]
,False,42620,247,Hawaii State Judiciary,,False,hawaii-judiciary,approved,[]
,False,6323,10,US Army Corps of Engineers - Philadelphia District,,False,us-army-corps-of-engineers-philadelphia-district,approved,[]
,False,38713,11329,Pawnee Police Department,,False,pawnee-police-department,approved,[]
,False,32056,17,Mayor's Office of Criminal Justice,,False,mayors-office-of-criminal-justice,approved,[]
,False,6324,10,"Department of the Interior, Office of Surface Mining",,False,department-interior-office-surface-mining,approved,[]
,False,40888,25393,Lakewood Police Department Oh,,False,lakewood-police-department-oh,approved,[]
,False,37930,9557,Goodyear Water Services,,False,goodyear-water-services,approved,[]
,False,37962,3037,Fresno County Sheriff Coroner's Office,,False,fresno-county-sheriff-coroners-office,approved,[]
,False,6341,8633,St. Croix County District Attorney's Office,,False,st-croix-county-district-attorneys-office,approved,[]
,False,6333,358,Los Angeles County Assessment Appeals Board,,False,assessment-appeals-board,approved,[]
,False,40893,10,Antigua And Barbuda Forensic Services,,False,antigua-and-barbuda-forensic-services,approved,[]
,False,6331,358,Los Angeles County Office of the Assessor,,False,los-angeles-county-office-of-the-assessor,approved,[]
,False,40896,8380,Grays Harbor County Public Utility District,,False,grays-hsrbor-county-public-utility-district,approved,[]
,False,10983,27270,Sheriff,,False,sheriff,approved,[]
,False,6410,246,Iowa Department of Education,,False,department-of-education,approved,[]
,False,6308,573,Mashpee School Committee,,False,mashpee-school-committee,approved,[]
,False,40722,2253,Laurens County Department Of Public Works,,False,laurens-county-department-of-public-works,approved,[]
,False,41711,14588,Etc Institute,,False,etc-institute-725-w-frontier-lane-olathe-ks-66061-usa,approved,[]
,False,41714,94,Connections Health Solutions,,False,connections-health-solutions-phoenix-az-usa,approved,[]
,False,40892,34,Florida Athletic Commission,,False,florida-athletic-commission,approved,[]
,False,42315,20680,School District Of Clayton,,False,school-district-of-clayton,approved,[]
,False,25866,5791,Widefield School District 3 Administration,,False,widefield-school-district-3-administration,approved,[]
,False,26202,14263,Harper Sheriff,,False,harper-sheriff,approved,[]
,False,26203,14789,Haven Police Department,,False,haven-police-department,approved,[]
,False,26204,14468,Highland Police Department,,False,highland-police-department,approved,[]
,False,26205,14332,Iola Police Department,,False,iola-police-department,approved,[]
,False,26206,14268,Jefferson Sheriff,,False,jefferson-sheriff,approved,[]
,False,26207,14271,Kearny Sheriff,,False,kearny-sheriff,approved,[]
,False,26209,14596,Lake Quivira Police Department,,False,lake-quivira-police-department,approved,[]
,False,6328,111,Kansas Commission on Peace Officers' Standards and Training,,False,kansas-commission-on-peace-officers-standards-and-training,approved,[]
,False,26211,14650,Lindsborg Police Department,,False,lindsborg-police-department,approved,[]
,False,26212,14680,Louisburg Police Department,,False,louisburg-police-department,approved,[]
,False,26213,14814,Lyons Police Department,,False,lyons-police-department,approved,[]
,False,26245,15698,Murray Police Department,,False,murray-police-department,approved,[]
,False,26214,14663,Marion Police Department,,False,marion-police-department,approved,[]
,False,26215,14284,Meade Sheriff,,False,meade-sheriff,approved,[]
,False,26216,14285,Miami Sheriff,,False,miami-sheriff,approved,[]
,False,26217,14586,Mission Hills Police Department,,False,mission-hills-police-department,approved,[]
,False,26218,14287,Montgomery Sheriff,,False,montgomery-sheriff,approved,[]
,False,6355,1,"Massachusetts Department of Public Health, Office of Oral Health",,False,massachusetts-department-of-public-health-office-of-oral-health,approved,[]
,False,26219,14937,Neodesha Police Department,,False,neodesha-police-department,approved,[]
,False,26220,14546,Newton Police Department,,False,newton-police-department,approved,[]
,False,26221,14733,Norton Police Department,,False,norton-police-department,approved,[]
,False,26222,14635,Oakley Police Department,,False,oakley-police-department,approved,[]
,False,26223,14294,Osage Sheriff,,False,osage-sheriff,approved,[]
,False,3111,3,Emmanuel College Campus Safety Department,,False,emmanuel-college-campus-safety-department,approved,Police
,False,26224,14739,Osage City Police Department,,False,osage-city-police-department,approved,[]
,False,26225,14295,Osborne Sheriff,,False,osborne-sheriff,approved,[]
,False,26226,14502,Ottawa Police Department,,False,ottawa-police-department,approved,[]
,False,26227,14740,Overbrook Police Department,,False,overbrook-police-department,approved,[]
,False,26228,14682,Paola Police Department,,False,paola-police-department,approved,[]
,False,26229,14866,Park City Police Department,,False,park-city-police-department,approved,[]
,False,26230,14616,Parsons Police Department,,False,parsons-police-department,approved,[]
,False,26231,14780,Pratt Police Department,,False,pratt-police-department,approved,[]
,False,26232,14842,Russell Police Department,,False,russell-police-department,approved,[]
,False,26233,14308,Russell Sheriff,,False,russell-sheriff,approved,[]
,False,170,10,National Air and Space Intelligence Center,,False,national-air-and-space-intelligence-center,approved,[]
,False,26210,14622,Lansing Police Department,,False,lansing-police-department,approved,[]
,False,26234,14309,Saline Sheriff,,False,saline-sheriff,approved,[]
,False,6285,246,Iowa State University,,False,iowa-state-university,approved,[]
,False,26235,14313,Sheridan Sheriff,,False,sheridan-sheriff,approved,[]
,False,26236,14314,Sherman Sheriff,,False,sherman-sheriff,approved,[]
,False,26237,14315,Smith Sheriff,,False,smith-sheriff,approved,[]
,False,26238,14861,Valley Center Police Department,,False,valley-center-police-department,approved,[]
,False,26239,14568,Valley Falls Police Department,,False,valley-falls-police-department,approved,[]
,False,26240,15953,Berea Police Department,,False,berea-police-department,approved,[]
,False,26241,15989,Bloomfield Police Department,,False,bloomfield-police-department,approved,[]
,False,26242,16049,Bowling Green Police Department,,False,bowling-green-police-department,approved,[]
,False,26243,15546,Boyd Sheriff,,False,boyd-sheriff,approved,[]
,False,26244,15555,Campbell County Police Department,,False,campbell-county-police-department,approved,[]
,False,26208,14272,Kingman Sheriff,,False,kingman-sheriff,approved,[]
,False,26247,15728,Oak Grove Police Department,,False,oak-grove-police-department,approved,[]
,False,26246,15897,Nicholasville Police Department,,False,nicholasville-police-department,approved,[]
,False,38714,27389,Sewickley Heights Police Department,,False,sewickley-heights-police-department,approved,[]
,False,4265,10,"Occupational Safety and Health Administration (OSHA), Region V: Chicago",,False,occupational-safety-health-administration-osha-region-v,approved,Health
,False,26248,16034,Shelbyville Police Department,,False,shelbyville-police-department,approved,[]
,False,26249,15685,Shepherdsville Police Department,,False,shepherdsville-police-department,approved,[]
,False,26250,15834,Shively Police Department,,False,shively-police-department,approved,[]
,False,26251,15641,Simpson Sheriff,,False,simpson-sheriff,approved,[]
,False,14674,304,Wheeling-Ohio County Emergency Management Agency,,False,ohio-county-emergency-management-agency,approved,[]
,False,26252,15643,Taylor Sheriff,,False,taylor-sheriff,approved,[]
,False,26253,15914,Taylor Mill Police Department,,False,taylor-mill-police-department,approved,[]
,False,26254,16037,Taylorsville Police Department,,False,taylorsville-police-department,approved,[]
,False,6394,10,Defense Health Agency Office of General Counsel [APPEALS],,False,defense-health-agency-office-general-counsel,approved,[]
,False,32069,34,1st Judicial Medical Examiner Florida,,False,1st-judicial-medical-examiner-florida,approved,[]
3216,False,4177,3,Boston Regional Intelligence Center (BRIC),,False,boston-regional-intelligence-center-bric,approved,[]
,False,6366,10,"Naval Facilities Engineering Systems Command, Far East",,False,naval-facilities-engineering-command-far-east,approved,[]
,False,37970,5571,East Granby Public Schools,,False,east-granby-public-schools,approved,[]
,False,37666,6556,Coos Bay Police Department,,False,coos-bay-police-department,approved,[]
,False,37931,4736,Mesa Water Conservation,,False,mesa-water-conservation,approved,[]
,False,38721,32648,Waterford  Police Department,,False,waterford-township-police-department,approved,[]
,False,37967,420,"Business Office, Newtown Public School District",,False,business-office-newtown-public-school-district,approved,[]
,False,38724,146,Deforest Police Deoartment Wi,,False,deforest-police-deoartment-wi,approved,[]
,False,11471,2241,Dillon County Sheriff,,False,dillon-county-sheriff,approved,[]
,False,37978,22580,2nd Battalion Fire District,,False,2nd-battalion-fire-district,approved,[]
,False,11336,19902,Pettis County Sheriff's Office,,False,pettis-county-sheriff,approved,[]
,False,20813,10,Aeronautical Center (dot - Faa),,False,aeronautical-center-dot-faa,approved,[]
,False,32088,52,California Department Of Real Estate,,False,california-department-of-real-estate,approved,[]
,False,32117,16,Attorney Grievance Committee,,False,attorney-grievance-committee,approved,[]
,False,2484,1,MCI - Framingham (Massachusetts Corrections),,False,mci-framingham-massachusetts-corrections,approved,Corrections
,False,32092,17,New York City Office Of Emergency Management,,False,new-york-city-office-of-emergency-management,approved,[]
,False,32096,19884,Madison County Medical Examiner & Coroner,,False,madison-county-medical-examiner-coroner,approved,[]
,False,32097,111,Office Of Judicial Administration,,False,office-of-judicial-administration,approved,[]
,False,32062,365,Bureau Of Economic Development,,False,bureau-of-economic-development,approved,[]
,False,14677,233,Louisiana Department Of Agriculture And Forestry,,False,louisiana-department-of-agriculture-and-forestry,approved,[]
,False,1635,612,Grace F. Cole Elementary School Library,,False,grace-f-cole-elementary-school-library,approved,"Library, School"
,False,32101,109,Lucile Plane State Jail,,False,plane-state-jail,approved,[]
,False,32125,26599,Cleveland County District Attorney,,False,cleveland-county-district-attorney,approved,[]
,False,32119,23612,Cass County Prosecutor,,False,cass-county-prosecutor,approved,[]
,False,32124,29989,Minnehaha County State's Attorney,,False,minnehaha-county-district-attorney,approved,[]
,False,32093,365,Cook County Department Of Emergency Management And Regional Security,,False,cook-county-department-of-emergency-management-and-regional-security,approved,[]
,False,37975,174,Behavioral Health Care Services,,False,behavioral-health-care-services,approved,[]
,False,37984,22535,"Mcc Association, Inc",,False,mcc-association-inc,approved,[]
,False,37985,7046,Manasquan,,False,manasquan,approved,[]
,False,18685,10,Puerto Rico Mental Health And Anti-addiction Services Administration,,False,mental-health-and-anti-addiction-services-administration,approved,[]
,False,37987,168,Office Of Executive Inspector General,,False,office-of-executive-inspector-general,approved,[]
,False,37988,168,"Consituent Services, Illinois Department Of Corrections",,False,consituent-services-illinois-department-of-corrections,approved,[]
,False,7573,91,Los Angeles Information Technology Agency,,False,los-angeles-information-technology-agency,approved,[]
,False,38715,126,"Shaler Township Police Department, Shaler Township",,False,shaler-township-police-department-shaler-township,approved,[]
,False,4157,234,Utah Division of Juvenile Justice Services,,False,utah-division-juvenile-justice-services,approved,[]
,False,4263,10,"Occupational Safety and Health Administration (OSHA), Region III: Philadelphia",,False,occupational-safety-health-administration-osha-region-iii,approved,Health
,False,32094,114,Arkansas Bureau Of Legislature Research,,False,arkansas-bureau-of-legislature-research,approved,[]
,False,9752,304,West Virginia State Legislature,,False,west-virginia-state-legislature,approved,[]
,False,32103,16,Cuny -- Brooklyn College,,False,cuny-brooklyn-college,approved,[]
,False,4164,127,Colorado Department of Health Care Policy and Financing,,False,colorado-department-health-care-policy-and-financing,approved,[]
,False,37981,8832,Chauncery Court For Shelby County Memphis,,False,chauncery-court-for-shelby-county-memphis,approved,[]
,False,42615,10235,Stuart Police Department,,False,stuart-police-department,approved,[]
,False,6038,235,Alaska Department of Environmental Conservation,,False,department-of-environmental-conservation,approved,[]
,False,32126,30320,"Davidson County District Attorney, Davidson County",,False,davidson-county-district-attorney-davidson-county,approved,[]
,False,4767,729,Berkshire County Jail and House of Correction,,False,berkshire-county-jail-and-house-correction,approved,[]
,False,32114,9565,Queen Creek Unified School District,,False,queen-creek-unified-school-district,approved,[]
,False,37989,30249,Board Of Elections,,False,board-of-elections,approved,[]
,False,32120,23612,Cass County Prosecutor,,False,cass-county-prosecutor,approved,[]
,False,40899,144,Development Services,,False,development-services,approved,[]
,False,38726,126,Sharpsburg Burough Police Department,,False,sharpsburg-burough-police-department-sharpsburg-borough,approved,[]
,False,925,329,Bureau of Accounting,,False,bureau-accounting,approved,Finance
,False,41712,209,Emergency Services,,False,metrosafe-911-center-louisville-ky-usa,approved,[]
,False,41717,12262,Clerk of Court,,False,monroe-county-indiana,approved,[]
,False,42320,11129,West Dundee Police Department,,False,west-dundee-police-department,approved,[]
,False,42316,126,"Logan Township Police Department, Logan Township",,False,logan-township-police-department-logan-township,approved,[]
,False,42621,720,The New York Senate,,False,the-new-york-senate,approved,[]
,False,4713,10,US Department of State - Bureau of Consular Affairs,,False,us-department-of-state-bureau-of-consular-affairs,approved,[]
,False,42266,9059,Russell County Phenix City Animal Shelter,,False,russell-county-phenix-city-animal-shelter,approved,[]
,False,4429,157,Office of the Attorney General of Montana,,False,attorney-generals-office,approved,[]
,False,32073,363,Child Protective Services,,False,north-dakotadakotanorth-county-forks-grand-grand-forksforkgrand-grand-fofgrand-services-protection-child,approved,[]
,False,4018,157,Department of Public Health and Human Services,,False,department-of-public-health-and-human-services,approved,[]
,False,37990,7695,"Crestwood, Il Fire Department",,False,crestwood-il-fire-department,approved,[]
,False,37993,7748,"Durand, Il Fire Department",,False,durand-il-fire-department,approved,[]
,False,32095,114,13th Judicial District Of Arkansas,,False,13th-judicial-district-of-arkansas,approved,[]
,False,32104,16,Cuny -- College Of Staten Island,,False,cuny-college-of-staten-island,approved,[]
,False,5425,152,Illinois Economic Development Corporation,,False,economic-development-corporation,approved,[]
,False,32121,248,Oklahoma Legislative Service Bureau,,False,oklahoma-legislative-service-bureau,approved,[]
,True,32091,337,Washington University Police Department,,False,washington-university-police-department,approved,[]
,False,37998,8338,Fire District 24,,False,fire-district-24,approved,[]
,False,6035,17,Mayor's Office for People with Disabilities,,False,commission-for-persons-with-disabilities,approved,[]
,False,5385,246,"Iowa Department of Public Safety, Division of Criminal Investigation",,False,iowa-department-public-safety-division-criminal-investigation,approved,[]
,False,15645,22901,White Plains City Clerk,,False,white-plains-city-clerk,approved,[]
,False,6094,229,Stockton University,,False,stockton-university,approved,[]
,False,38003,4567,Planning And Zoning Wilmington Nc,,False,planning-and-zoning-wilmington-nc,approved,[]
,False,38005,1907,Westbrook-walnut Grove Schools,,False,westbrook-walnut-grove-schools,approved,[]
,False,38015,5730,Park County Colorado Combined Court,,False,park-county-colorado-combined-court,approved,[]
,False,38010,321,Honolulu Authority For Rapid Transit,,False,honolulu-authority-for-rapid-transit-honolulu-hawaii,approved,[]
,False,38007,26940,Pocola Police Department,,False,pocola-police-department,approved,[]
,False,38008,31786,Spanish Fork Police Department,,False,spanish-fork-police-department-spanish-fork,approved,[]
,False,38017,52,Department Of Motor Vehicles Legal Affairs Division,,False,department-of-motor-vehicles-legal-affairs-division-c-128-po-box-932382-sacramento-ca-94232-3820,approved,[]
,False,38018,30583,East Tennessee State University Foundation,,False,east-tennessee-state-university-foundation,approved,[]
,False,4195,62,"La Mesa, CA Police Department",,False,la-mesa-ca-police-department,approved,[]
,False,5755,316,Nassau County Traffic & Parking Violations Agency,,False,nassau-county-traffic-parking-violations-agency,approved,[]
,False,32111,207,Grievance Committee for the Eighth Judicial District,,False,attorney-grievance-committee-buffalo-ny,approved,[]
,False,32122,341,Oklahoma City Government Relations,,False,oklahoma-city-government-relations,approved,[]
,False,32128,234,Utah Legislative Services Office,,False,utah-legislative-services-office,approved,[]
,False,5920,1,Middlesex Community College - Bedford Campus,,False,middlesex-communitu-college-bedford-campus,approved,[]
,False,5194,17,New York City Economic Development Corporation,,False,new-york-city-economic-development-corporation,approved,[]
,False,5902,52,California Public Employees’ Retirement System,,False,california-public-employees-retirement-system,approved,[]
,False,5903,52,California State Teachers' Retirement System,,False,california-state-teachers-retirement-system,approved,[]
,False,37991,8220,"Newark, Il Fire Protection District",,False,newark-il-fire-protection-district,approved,[]
,False,37997,32068,Lynchburg,,False,lynchburg,approved,[]
,False,38019,10,Puerto Rico National Guard,,False,puerto-rico-national-guard,approved,[]
,False,38734,126,Indiana Township Police Department,,False,indiana-township-police-department,approved,[]
,False,38012,10055,Police Department,,False,police-department,approved,[]
,False,40898,144,Planning & Zoning,,False,planning-zoning,approved,[]
,False,40905,5705,Clerk & Recorder’s Office,,False,clerk-recorders-office,approved,[]
,True,41723,295,Berkeley Wellness Center,,False,1919-addison-st-ste-204-berkeley-ca-94704-usa,approved,[]
,False,5421,230,Georgia Department of Economic Development,,False,department-of-economic-development,approved,[]
,False,5732,158,Oregon U.S. District Court,,False,oregon-us-district-court,approved,[]
,False,35982,48,District Of Columbia Public Library,,False,district-of-columbia-public-library,approved,[]
,False,42623,30235,Perry County Schools,,False,perry-county-schools,approved,[]
,False,35560,16,Arlington Central School District,,False,arlington-central-school-district,approved,[]
,False,42616,10594,Carrabelle Police Department,,False,carrabelle-police-department,approved,[]
,False,10743,22528,Brockport Police Department,,False,police,approved,[]
,False,5812,8838,St. Louis County Department of Justice Services,,False,st-louis-county-department-of-justice-services,approved,[]
,False,32129,155,Tennessee Legislative Administration,,False,tennessee-legislative-administration,approved,[]
,False,11500,2553,Bell County Sheriff,,False,bell-county-sheriff,approved,[]
,False,37992,7865,Glenwood Fire Deparment,,False,glenwood-fire-deparment,approved,[]
,False,38022,10,"Environmental Protection Agency, Office Of Congressional And Intergovernmental Relations",,False,environmental-protection-agency-office-of-congressional-and-intergovernmental-relations,approved,[]
,False,38062,8785,Rice Lake Police Dept,,False,rice-lake-police-dept,approved,[]
,False,18307,743,City Of Birmingham Mayor’s Office,,False,city-of-birmingham,approved,[]
,False,38023,1966,Fillmore County Sheriff's Office,,False,fillmore-county-sheriffs-office,approved,[]
,False,38024,2850,Duncanville Police Department,,False,duncanville-pdirving-pdlancaster-pddesoto-pdgrandprairie,approved,[]
,False,38025,8639,Washburn County Sheriff,,False,washburn-co-sheriff,approved,[]
,False,38029,7134,Palmyra Police Department,,False,palmyra-police-department,approved,[]
,False,4241,10,National Institute of Allergy and Infectious Diseases (NIAID),,False,national-institute-of-allergy-and-infectious-diseases-niaid,approved,[]
,False,40901,9571,Lake Havasu City Police Department,,False,lake-havasu-city-police-department,approved,[]
,False,5695,10,"U.S Army Program Executive Office, Aviation",,False,army-program-executive-office-for-aviation,approved,[]
,False,38043,8630,Sawyer Co. Sheriff's Dept.,,False,sawyer-co-sheriffs-dept,approved,[]
,False,38037,32538,Luxemburg PD,,False,luxemburg-pd,approved,[]
,False,38034,8613,Marinette County Sheriff,,False,marinette-county-sheriff,approved,[]
,False,38036,8714,City Of Hurley Police Department,,False,city-of-hurley,approved,[]
,False,38039,146,State Petrol Wisconsin,,False,state-petrol-wisconsin,approved,[]
,False,38046,8630,Lac Courte Oreilles Tribal Police,,False,lac-courte-oreilles-tribal-police,approved,[]
,False,38041,8582,Bayfield County Sheriff,,False,bayfield-county-sheriff,approved,[]
,False,38048,8694,Fennimore Police Dept,,False,fennimore-police-dept,approved,[]
,False,38050,32375,Burnett Co. Sheriff,,False,burnett-co-sheriff,approved,[]
,False,38069,8810,Two Rivers Police Department,,False,two-rivers-pd,approved,[]
,False,38084,8643,Waushara County Sheriff's Department,,False,waushara-co-sheriffs-dept,approved,[]
,False,38038,8617,Oconto County Sheriff Dept,,False,oconto-county-sheriff-dept,approved,[]
,False,38065,8763,Oconto Police Department,,False,oconto-police-department,approved,[]
,False,38085,8773,Phillips Police Department,,False,phillips-police-department,approved,[]
,False,32076,363,Social Services Grand Forks County North Dakota,,False,social-services-grand-forks-county-north-dakota,approved,[]
,False,40911,4890,Floyd County Commission,,False,floyd-county-commission,approved,[]
,False,41724,1030,Spotsylvania County Fire And Rescue,,False,spotsylvania-county-fire-and-resuce,approved,[]
,False,38730,126,Stowe Township Police Department,,False,stowe-township-police-department-stowe-township,approved,[]
